#1
double	Pel(35040,2)
1280700	0.2379
1281600	0.2347
1282500	0.2275
1283400	0.2175
1284300	0.2064
1285200	0.1959
1286100	0.1875
1287000	0.1806
1287900	0.1743
1288800	0.1677
1289700	0.1602
1290600	0.1517
1291500	0.1427
1292400	0.1331
1293300	0.1234
1294200	0.1136
1295100	0.1039
1296000	0.0943
1296900	0.0851
1297800	0.0766
1298700	0.0691
1299600	0.0628
1300500	0.0582
1301400	0.0549
1302300	0.0528
1303200	0.0514
1304100	0.0505
1305000	0.0499
1305900	0.0496
1306800	0.0492
1307700	0.0489
1308600	0.0486
1309500	0.0482
1310400	0.0482
1311300	0.0484
1312200	0.0489
1313100	0.0495
1314000	0.0504
1314900	0.0515
1315800	0.0543
1316700	0.0601
1317600	0.0703
1318500	0.0856
1319400	0.1043
1320300	0.1234
1321200	0.1404
1322100	0.1531
1323000	0.1618
1323900	0.1671
1324800	0.1698
1325700	0.1705
1326600	0.1698
1327500	0.1676
1328400	0.1646
1329300	0.1608
1330200	0.1569
1331100	0.1530
1332000	0.1499
1332900	0.1477
1333800	0.1463
1334700	0.1457
1335600	0.1457
1336500	0.1462
1337400	0.1473
1338300	0.1495
1339200	0.1530
1340100	0.1579
1341000	0.1632
1341900	0.1675
1342800	0.1698
1343700	0.1690
1344600	0.1659
1345500	0.1612
1346400	0.1562
1347300	0.1514
1348200	0.1471
1349100	0.1432
1350000	0.1394
1350900	0.1359
1351800	0.1329
1352700	0.1303
1353600	0.1290
1354500	0.1287
1355400	0.1300
1356300	0.1330
1357200	0.1384
1358100	0.1461
1359000	0.1558
1359900	0.1670
1360800	0.1792
1361700	0.1919
1362600	0.2043
1363500	0.2156
1364400	0.2253
1365300	0.2326
1366200	0.2370
1367100	0.2379
1368000	0.2347
1368900	0.2276
1369800	0.2175
1370700	0.2064
1371600	0.1960
1372500	0.1875
1373400	0.1806
1374300	0.1743
1375200	0.1678
1376100	0.1602
1377000	0.1518
1377900	0.1427
1378800	0.1331
1379700	0.1234
1380600	0.1136
1381500	0.1039
1382400	0.0943
1383300	0.0892
1384200	0.0859
1385100	0.0830
1386000	0.0797
1386900	0.0749
1387800	0.0693
1388700	0.0636
1389600	0.0587
1390500	0.0553
1391400	0.0533
1392300	0.0521
1393200	0.0514
1394100	0.0508
1395000	0.0503
1395900	0.0497
1396800	0.0492
1397700	0.0489
1398600	0.0485
1399500	0.0482
1400400	0.0482
1401300	0.0485
1402200	0.0492
1403100	0.0508
1404000	0.0534
1404900	0.0574
1405800	0.0628
1406700	0.0696
1407600	0.0776
1408500	0.0868
1409400	0.0971
1410300	0.1084
1411200	0.1205
1412100	0.1332
1413000	0.1458
1413900	0.1573
1414800	0.1666
1415700	0.1733
1416600	0.1777
1417500	0.1805
1418400	0.1824
1419300	0.1839
1420200	0.1854
1421100	0.1869
1422000	0.1887
1422900	0.1908
1423800	0.1933
1424700	0.1965
1425600	0.2002
1426500	0.2045
1427400	0.2088
1428300	0.2121
1429200	0.2138
1430100	0.2133
1431000	0.2111
1431900	0.2076
1432800	0.2034
1433700	0.1991
1434600	0.1951
1435500	0.1912
1436400	0.1877
1437300	0.1845
1438200	0.1819
1439100	0.1797
1440000	0.1782
1440900	0.1775
1441800	0.1785
1442700	0.1825
1443600	0.1908
1444500	0.2039
1445400	0.2199
1446300	0.2360
1447200	0.2495
1448100	0.2584
1449000	0.2633
1449900	0.2659
1450800	0.2672
1451700	0.2685
1452600	0.2683
1453500	0.2650
1454400	0.2568
1455300	0.2429
1456200	0.2254
1457100	0.2070
1458000	0.1908
1458900	0.1787
1459800	0.1704
1460700	0.1650
1461600	0.1615
1462500	0.1588
1463400	0.1563
1464300	0.1531
1465200	0.1489
1466100	0.1428
1467000	0.1353
1467900	0.1269
1468800	0.1185
1469700	0.1102
1470600	0.1021
1471500	0.0945
1472400	0.0870
1473300	0.0798
1474200	0.0733
