#1
double	presence(8760,2)
4474800	0.69
4478400	0.759
4482000	0.793
4485600	0.793
4489200	0.966
4492800	0.996
4496400	0.996
4500000	1.0
4503600	1.0
4507200	1.0
4510800	0.996
4514400	0.822
4518000	0.724
4521600	0.655
4525200	0.552
4528800	0.448
4532400	0.31
4536000	0.586
4539600	0.655
4543200	0.552
4546800	0.483
4550400	0.448
4554000	0.483
4557600	0.517
4561200	0.69
4564800	0.759
4568400	0.793
4572000	0.793
4575600	0.966
4579200	1.0
4582800	1.0
4586400	1.0
4590000	1.0
4593600	1.0
4597200	1.0
4600800	0.862
4604400	0.621
4608000	0.483
4611600	0.172
4615200	0.207
4618800	0.172
4622400	0.345
4626000	0.517
4629600	0.345
4633200	0.379
4636800	0.345
4640400	0.448
4644000	0.483
4647600	0.69
4651200	0.862
4654800	0.862
4658400	1.0
4662000	1.0
4665600	1.0
4669200	1.0
4672800	1.0
4676400	1.0
4680000	1.0
4683600	1.0
4687200	0.862
4690800	0.621
4694400	0.483
4698000	0.172
4701600	0.207
4705200	0.172
4708800	0.345
4712400	0.517
4716000	0.345
4719600	0.379
4723200	0.345
4726800	0.448
4730400	0.483
4734000	0.69
4737600	0.862
4741200	0.862
4744800	1.0
4748400	1.0
4752000	1.0
4755600	1.0
4759200	1.0
4762800	1.0
4766400	1.0
4770000	1.0
4773600	0.862
4777200	0.621
4780800	0.483
4784400	0.172
4788000	0.207
4791600	0.172
4795200	0.345
4798800	0.517
4802400	0.345
4806000	0.379
4809600	0.345
4813200	0.448
4816800	0.483
4820400	0.69
4824000	0.862
4827600	0.862
4831200	1.0
4834800	1.0
4838400	1.0
4842000	1.0
4845600	1.0
4849200	1.0
4852800	1.0
4856400	1.0
4860000	0.862
4863600	0.621
4867200	0.483
4870800	0.172
4874400	0.207
4878000	0.172
4881600	0.345
4885200	0.517
4888800	0.345
4892400	0.379
4896000	0.345
4899600	0.448
4903200	0.483
4906800	0.69
4910400	0.862
4914000	0.862
4917600	1.0
4921200	1.0
4924800	1.0
4928400	1.0
4932000	1.0
4935600	1.0
4939200	1.0
4942800	1.0
4946400	0.862
4950000	0.621
4953600	0.483
4957200	0.172
4960800	0.207
4964400	0.172
4968000	0.345
4971600	0.517
4975200	0.345
4978800	0.379
4982400	0.345
4986000	0.448
4989600	0.483
4993200	0.69
4996800	0.862
5000400	0.862
5004000	1.0
5007600	1.0
5011200	0.996
5014800	0.996
5018400	0.996
5022000	1.0
5025600	1.0
5029200	0.996
5032800	0.822
5036400	0.724
5040000	0.655
5043600	0.552
5047200	0.448
5050800	0.31
5054400	0.586
5058000	0.655
5061600	0.552
5065200	0.483
5068800	0.448
5072400	0.483
5076000	0.517
5079600	0.69
5083200	0.759
5086800	0.793
5090400	0.793
5094000	0.966
5097600	0.996
5101200	0.996
5104800	1.0
5108400	1.0
5112000	1.0
5115600	0.996
5119200	0.822
5122800	0.724
5126400	0.655
5130000	0.552
5133600	0.448
5137200	0.31
5140800	0.586
5144400	0.655
5148000	0.552
5151600	0.483
5155200	0.448
5158800	0.483
5162400	0.517
5166000	0.69
5169600	0.759
5173200	0.793
5176800	0.793
5180400	0.966
5184000	1.0
5187600	1.0
5191200	1.0
5194800	1.0
5198400	1.0
5202000	1.0
5205600	0.862
5209200	0.621
5212800	0.483
5216400	0.172
5220000	0.207
5223600	0.172
5227200	0.345
5230800	0.517
5234400	0.345
5238000	0.379
5241600	0.345
5245200	0.448
5248800	0.483
5252400	0.69
5256000	0.862
5259600	0.862
5263200	1.0
5266800	1.0
5270400	1.0
5274000	1.0
5277600	1.0
5281200	1.0
5284800	1.0
5288400	1.0
5292000	0.862
5295600	0.621
5299200	0.483
5302800	0.172
5306400	0.207
5310000	0.172
5313600	0.345
5317200	0.517
5320800	0.345
5324400	0.379
5328000	0.345
5331600	0.448
5335200	0.483
5338800	0.69
5342400	0.862
5346000	0.862
5349600	1.0
5353200	1.0
5356800	1.0
5360400	1.0
5364000	1.0
5367600	1.0
5371200	1.0
5374800	1.0
5378400	0.862
5382000	0.621
5385600	0.483
5389200	0.172
5392800	0.207
5396400	0.172
5400000	0.345
5403600	0.517
5407200	0.345
5410800	0.379
5414400	0.345
5418000	0.448
5421600	0.483
5425200	0.69
5428800	0.862
5432400	0.862
5436000	1.0
5439600	1.0
5443200	1.0
5446800	1.0
5450400	1.0
5454000	1.0
